arquivo,autoridade,url
2002-01-10-num10406~compilada.fonte0-planalto.htm,br:presidencia.republica;casa.civil,http://www.planalto.gov.br/ccivil_03/Leis/2002/L10406compilada.htm
2002-01-10-10406-orig1.fonte0-camara.htm,br:camara.deputados,http://www2.camara.gov.br/legin/fed/lei/2002/lei-10406-10-janeiro-2002-432893-publicacaooriginal-1-pl.html
2002-01-10-10406-orig1.fonte0-senado.htm,br:senado,http://legis.senado.leg.br/legislacao/PublicacaoSigen.action?id=552282&tipoDocumento=LEI-n&tipoTexto=PUB

